source,text_data,sentiment
NPR,"U.S. fighter jets strike Iran-linked sites in Syria after attacks on U.S. troops The al-Tanf military outpost in southern Syria is seen on Oct. 22, 2018. The Pentagon says the U.S. military launched airstrikes early Friday on two locations in eastern Syria linked to Iran's Revolu… [+6853 The strikes on two locations linked to Iran's Revolutionary Guard Corps came in retaliation for drone and missile attacks against U.S. bases and personnel in the region that began early last week.",0
NPR,"North Carolina lawmakers approve maps creating gains for the GOP in Congress While other senators look at the map on their computers, Republican Sen. Ralph Hise, top right, one of the sponsors of a congressional redistricting bill, speaks as the North Carolina Senate debates … [+2887 North Carolina Republicans gave final approval Wednesday to new political districts that are likely to hand the party more seats in Congress next year.",0
NPR,"A Chinese fighter jet came within 10 feet of a B-52 bomber, U.S. military says A U.S. Air Force B-52 bomber flies during the Seoul International Aerospace and Defense Exhibition 2023 at Seoul Air Base in Seongnam, South Korea, on Oct. 17, 2023.
AP
BANGKOK A Chinese fighter je… [+3067 A Chinese fighter jet came within 10 feet of an American B-52 bomber flying over the South China Sea, nearly causing an accident, the U.S. military said.",0
NPR,"Up First newsletter: Maine shooter at large; support for humanitarian pause in Gaza Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+6147 Residents of Lewiston, Maine, are still sheltering in place while police search for a man suspected of killing 18 and wounding 13. EU leaders call for a humanitarian pause to bring aid to Gaza.",0
NPR,"It takes lots of money to win elections. Here's what you need to know This photo illustration created in Washington, DC shows the mugshot of former President Donald Trump next to a website called Trump Save America JFC, a joint fundraising committee on behalf of Donald… [+8096 Elections are becoming more expensive as candidates vie for voters' attention. But there are strict rules about how money is raised, how it can be used and how to prove you're following the laws.",0
NPR,"Fake accounts, old videos, and rumors fuel chaos around Gaza hospital explosion An aerial view of the complex housing the Ahli Arab hospital in Gaza City after an explosion on the hospital grounds that killed hundreds, according to Palestinian officials. Unraveling the facts beh… [+6693 Misleading and false information is muddying efforts to uncover who is responsible for the deadly blast that killed hundreds of people",0
NPR,"Black residents in rural Alabama demand sanitation equity, saying 'it's a right' Gladys Maull lives in the rural community of Hicks Hill, Ala. on land that's been in her family for generations. The on-site septic system is collapsing, and she can't afford a new one.
Debbie Ellii… [+10721 A landmark environmental justice agreement is aimed at fixing longstanding sanitation issues in a rural, predominantly Black Alabama county. Residents say they've waited long enough.",0
Slashdot.org,"Biden Awards $7 Billion For 7 Hydrogen Hubs In Climate Fight Plan U.S. President Joe Biden traveled to Philadelphia on Friday to announce the recipients of $7 billion in federal grants across 16 states for the development of seven regional hydrogen hubs, advancing … [+1714 An anonymous reader quotes a report from Reuters: U.S. President Joe Biden traveled to Philadelphia on Friday to announce the recipients of $7 billion in federal grants across 16 states for the development of seven regional hydrogen hubs, advancing a key part…",0
Slashdot.org,Artists May 'Poison' AI Models Before Copyright Office Can Issue Guidance Artists have spent the past year fighting companies that have been training AI image generators—including popular tools like the impressively photorealistic Midjourney or the ultra-sophisticated DALL… [+3971 An anonymous reader writes: Artists have spent the past year fighting companies that have been training AI image generators—including popular tools like the impressively photorealistic Midjourney or the ultra-sophisticated DALL-E 3—on their original works wit…,0
Business Insider,"Joe Biden joined Truth Social, and immediately followed Trump President Joe Biden's campaign has joined Truth Social as he seeks re-electionKent Nishimura/Getty Images
President Joe Biden wrote ""converts welcome!"" in his first post on Donald Trump's so… [+2036 The Biden campaign announced it had joined the right-wing social media site with the post ""let's see how this goes. Converts welcome!""",0
Business Insider,"I read Rep. Anna Paulina Luna's children's that's book based on the 2020 election. It suggests Joe Biden's election victory wasn't legitimate and underscores that election denialism is never really going away. ""The Legend of Naranja,"" a new children's book by Rep. Anna Paulina Luna and her husband.Brave Books
<ul>
<li>Republican Rep. Anna Paulina Luna recently wrote a children's book based on the 2020 ele… [+4909 In the book, a Joe Biden-like ""Señor Banana"" underhandedly defeats an orange that resembles Donald Trump in a literal race to become the president.",0
Business Insider,"Bernie Sanders scoffs at Dean Phillips' apology for dismissing his 'rigged' primary claims: 'He's changed his views now that he's a candidate?' Rep. Dean Phillips of Minnesota and Sen. Bernie Sanders of Vermont.Gaelen Morse/Getty Images; Jens Kalaene/Picture Alliance via Getty Images
Rep. Dean Phillips claims the 2024 Democratic pri… [+3620 Rep. Dean Phillips, who's waging a long-shot campaign against Joe Biden, has also hired one of Sen. Bernie Sanders' old campaign managers.",0
Business Insider,"Biden says a Palestinian state should be established and Hamas eliminated entirely President Joe Biden at the 2023 Human Rights Campaign National Dinner in Washington DC.Manuel Balce Ceneta/AP Photo
<ul>
<li>President Joe Biden called Hamas' attacks on Israel ""pure barbarism"" in a… [+1508 President Joe Biden said the recent Hamas attacks on Israel are ""pure barbarism"" and called for the group's elimination in a 60 Minutes interview.",0
Business Insider,"Biden backs Israel and says hospital blast in Gaza 'appears as though it was done by the other team' President Joe Biden is greeted by Israeli Prime Minister Benjamin Netanyahu after arriving at Ben Gurion International Airport, in Tel Aviv, on October 18, 2023.Evan Vucci/AP Photo
President… [+2119 President Joe Biden said that an explosion that killed hundreds in a Gaza hospital appears to have been the work of ""the other team,"" and not Israel.",0
Business Insider,"US stocks rise amid diplomatic efforts to ease the Israel-Hamas conflict President Joe Biden.AP Photo/Patrick Semansky
<ul>
<li>US stocks climbed Monday amid diplomacy efforts in the Middle East.</li>
<li>Secretary of State Antony Blinken visited Israel Monday, and Presi… [+2648 Secretary of State Antony Blinken visited Israel on Monday, and President Joe Biden is weighing a visit to help prevent the conflict from expanding.",0
Business Insider,"President Biden to visit Israel at 'critical moment,' his second visit to a war zone this year US President Joe Biden pauses as he speaks during the Human Rights Campaign National Dinner at the Washington Convention Center in Washington, DC, on October 14, 2023.ANDREW CABALLERO-REYNOLDS/AFP vi… [+1276 President Joe Biden will visit Israel on Wednesday amid its war with Hamas, his second recent trip to a war zone after visiting Ukraine in February.",0
Business Insider,"Biden Compares Hamas To Putin As He Urges US Aid For Israel In a primetime speech, President Joe Biden compared the Ukraine war to the war between Hamas and Israel, as he urged Congress to support an upcoming aid package.Read the original article on Business … [+6 In a primetime speech, President Joe Biden compared the Ukraine war to the war between Hamas and Israel, as he urged Congress to support an upcoming aid package.",0
